Date,Processing Crew,start time,end time,Gear Method,Species,FL (mm),WW (kg),Sample ID,Transport ID,Comments
4/2/2019,JN/LD/CS,12:00:00,,Seine,SB,330,0.31,201942-B-2-BS-2,201942-T-USER-PFRS-1-8,
4/2/2019,JN/LD/CS,12:00:00,,Seine,SB,278,0.23,201942-B-2-BS-2,201942-T-USER-PFRS-1-8,
4/2/2019,JN/LD/CS,12:00:00,,Seine,SB,223,0.13,201942-B-2-BS-2,201942-T-USER-PFRS-1-8,
4/2/2019,JN/LD/CS,12:00:00,,Seine,SB,303,0.23,201942-B-2-BS-2,201942-T-USER-PFRS-1-8,
4/2/2019,JN/LD/CS,12:00:00,,Seine,SB,253,0.21,201942-B-2-BS-2,201942-T-USER-PFRS-1-8,
4/2/2019,JN/LD/CS,12:00:00,,Seine,SB,252,0.21,201942-B-2-BS-2,201942-T-USER-PFRS-1-8,
4/2/2019,JN/LD/CS,12:00:00,,Seine,SB,292,0.25,201942-B-2-BS-2,201942-T-USER-PFRS-1-8,
4/2/2019,JN/LD/CS,12:00:00,,Seine,SPB,310,0.53,201942-B-2-BS-2,201942-T-USER-PFRS-1-8,
4/2/2019,JN/LD/CS,12:00:00,,Seine,SPB,308,0.4,201942-B-2-BS-2,201942-T-USER-PFRS-1-8,
4/2/2019,JN/LD/CS,12:00:00,,Seine,LMB,293,0.4,201942-B-2-BS-2,201942-T-USER-PFRS-1-8,
4/2/2019,JN/LD/CS,13:00:00,,Seine,SB,290,0.27,2019-B-3-BS-2,201942-T-USER-PFRS-1-8,
4/2/2019,JN/LD/CS,13:00:00,,Seine,SB,285,0.19,2019-B-3-BS-2,201942-T-USER-PFRS-1-8,
4/2/2019,JN/LD/CS,13:00:00,,Seine,SB,245,0.13,2019-B-3-BS-2,201942-T-USER-PFRS-1-8,
4/2/2019,JN/LD/CS,13:00:00,,Seine,SB,296,0.2,2019-B-3-BS-2,201942-T-USER-PFRS-1-8,
4/2/2019,JN/LD/CS,13:00:00,,Seine,SB,282,0.26,2019-B-3-BS-2,201942-T-USER-PFRS-1-8,
4/2/2019,JN/LD/CS,13:00:00,,Seine,SB,337,0.37,2019-B-3-BS-2,201942-T-USER-PFRS-1-8,
4/2/2019,JN/LD/CS,13:00:00,,Seine,SB,295,0.23,2019-B-3-BS-2,201942-T-USER-PFRS-1-8,
4/2/2019,JN/LD/CS,13:00:00,,Seine,SB,284,0.15,2019-B-3-BS-2,201942-T-USER-PFRS-1-8,
4/2/2019,JN/LD/CS,13:00:00,,Seine,SB,260,0.16,2019-B-3-BS-2,201942-T-USER-PFRS-1-8,
4/2/2019,JN/LD/CS,13:00:00,,Seine,SB,317,0.25,2019-B-3-BS-2,201942-T-USER-PFRS-1-8,
4/2/2019,JN/LD/CS,13:00:00,,Seine,SPB,265,0.33,2019-B-3-BS-2,201942-T-USER-PFRS-1-8,
4/2/2019,JN/LD/CS,13:00:00,,Seine,LMB,378,0.81,2019-B-3-BS-2,201942-T-USER-PFRS-1-8,
4/2/2019,JN/LD/CS,13:00:00,,Seine,BG,211,0.16,2019-B-3-BS-2,,bycatch
4/2/2019,JN/LD/CS,13:00:00,,Seine,LMB,294,0.31,2019-B-3-BS-2,201942-T-USER-PFRS-1-8,
4/3/2019,LD/BP/SJ,8:45:00,,Fyke,SB,362,0.5,201942-F-1-F-10-1,201943-T-USER-PFRS-1-12,
4/3/2019,LD/BP/SJ,8:45:00,,Fyke,SB,380,0.51,201942-F-1-F-10-1,201943-T-USER-PFRS-1-12,
4/3/2019,LD/BP/SJ,8:45:00,,Fyke,SB,346,0.45,201942-F-2-F-10-2,201943-T-USER-PFRS-1-12,
4/3/2019,LD/BP/SJ,8:45:00,,Fyke,SB,394,0.54,201942-F-2-F-10-2,201943-T-USER-PFRS-1-12,
4/3/2019,LD/BP/SJ,8:45:00,,Fyke,SB,425,0.71,201942-F-2-F-10-2,201943-T-USER-PFRS-1-12,
4/3/2019,LD/BP/SJ,8:45:00,,Fyke,LMB,433,1.48,201942-F-2-F-10-2,201943-T-USER-PFRS-1-12,
4/3/2019,LD/BP/SJ,11:45:00,,Hoop,CC,243,0.11,201942-H-1-Front-H-36-3B,201943-T-USER-PFRS-1-12,3-Front-H-48-2A/4-Front-H-48-4B
4/3/2019,LD/BP/SJ,11:45:00,,Hoop,CC,231,0.07,201942-H-1-Front-H-36-3B,201943-T-USER-PFRS-1-12,3-Front-H-48-2A/4-Front-H-48-4B
4/3/2019,LD/BP/SJ,11:45:00,,Hoop,CC,225,0.09,201942-H-1-Front-H-36-3B,201943-T-USER-PFRS-1-12,3-Front-H-48-2A/4-Front-H-48-4B
4/3/2019,LD/BP/SJ,11:45:00,,Hoop,CC,237,0.1,201942-H-1-Front-H-36-3B,201943-T-USER-PFRS-1-12,3-Front-H-48-2A/4-Front-H-48-4B
4/3/2019,LD/BP/SJ,11:45:00,,Hoop,CC,220,0.09,201942-H-1-Front-H-36-3B,201943-T-USER-PFRS-1-12,3-Front-H-48-2A/4-Front-H-48-4B
4/3/2019,LD/BP/SJ,11:45:00,,Hoop,CC,221,0.1,201942-H-1-Front-H-36-3B,201943-T-USER-PFRS-1-12,3-Front-H-48-2A/4-Front-H-48-4B
4/3/2019,LD/BP/SJ,11:45:00,,Hoop,CC,206,0.06,201942-H-1-Front-H-36-3B,201943-T-USER-PFRS-1-12,3-Front-H-48-2A/4-Front-H-48-4B
4/3/2019,LD/BP/SJ,11:45:00,,Hoop,CC,244,0.15,201942-H-1-Front-H-36-3B,201943-T-USER-PFRS-1-12,3-Front-H-48-2A/4-Front-H-48-4B
4/3/2019,LD/BP/SJ,11:45:00,,Hoop,CC,204,0.06,201942-H-1-Front-H-36-3B,201943-T-USER-PFRS-1-12,3-Front-H-48-2A/4-Front-H-48-4B
4/3/2019,LD/BP/SJ,11:45:00,,Hoop,CC,247,0.07,201942-H-1-Front-H-36-3B,201943-T-USER-PFRS-1-12,3-Front-H-48-2A/4-Front-H-48-4B
4/3/2019,LD/BP/SJ,11:45:00,,Hoop,CC,213,0.07,201942-H-1-Front-H-36-3B,201943-T-USER-PFRS-1-12,3-Front-H-48-2A/4-Front-H-48-4B
4/3/2019,LD/BP/SJ,11:45:00,,Hoop,CC,196,0.06,201942-H-1-Front-H-36-3B,201943-T-USER-PFRS-1-12,3-Front-H-48-2A/4-Front-H-48-4B
4/3/2019,LD/BP/SJ,11:45:00,,Hoop,CC,190,0.05,201942-H-1-Front-H-36-3B,201943-T-USER-PFRS-1-12,3-Front-H-48-2A/4-Front-H-48-4B
4/3/2019,LD/BP/SJ,11:45:00,,Hoop,CC,300,0.16,201942-H-1-Front-H-36-3B,201943-T-USER-PFRS-1-12,3-Front-H-48-2A/4-Front-H-48-4B
